State,year,Number of Fires
AC,1998,730
AC,1999,333
AC,2000,434
AC,2001,828
AC,2002,3491
AC,2003,6859
AC,2004,3160
AC,2005,9427
AC,2006,1456
AC,2007,1419
AC,2008,2808
AC,2009,2095
AC,2010,4684
AC,2011,1912
AC,2012,3180
AC,2013,3242
AC,2014,2740
AC,2015,5512
AC,2016,6993
AC,2017,7042
AM,1998,946
AM,1999,1061
AM,2000,853
AM,2001,1297
AM,2002,2852
AM,2003,4789
AM,2004,3504
AM,2005,6780
AM,2006,4634
AM,2007,2963
AM,2008,2717
AM,2009,7915
AM,2010,8826
AM,2011,4188
AM,2012,7745
AM,2013,5118
AM,2014,9288
AM,2015,15170
AM,2016,12023
AM,2017,14798
AP,1998,278
AP,1999,101
AP,2000,253
AP,2001,1301
AP,2002,1957
AP,2003,1652
AP,2004,2261
AP,2005,1271
AP,2006,817
AP,2007,440
AP,2008,785
AP,2009,2127
AP,2010,721
AP,2011,1100
AP,2012,2103
AP,2013,975
AP,2014,1490
AP,2015,1366
AP,2016,2653
AP,2017,1465
MA,1998,14236
MA,1999,8711
MA,2000,8983
MA,2001,18839
MA,2002,16372
MA,2003,23382
MA,2004,22361
MA,2005,22251
MA,2006,11283
MA,2007,27093
MA,2008,11363
MA,2009,9381
MA,2010,28896
MA,2011,14955
MA,2012,24790
MA,2013,12697
MA,2014,23059
MA,2015,26222
MA,2016,21766
MA,2017,28639
MT,1998,34647
MT,1999,44312
MT,2000,26064
MT,2001,25408
MT,2002,55562
MT,2003,35406
MT,2004,77014
MT,2005,41237
MT,2006,27265
MT,2007,44406
MT,2008,20033
MT,2009,11069
MT,2010,46936
MT,2011,14164
MT,2012,26017
MT,2013,16301
MT,2014,28024
MT,2015,25429
MT,2016,18952
MT,2017,36344
PA,1998,20282
PA,1999,20479
PA,2000,18207
PA,2001,28587
PA,2002,38804
PA,2003,32100
PA,2004,47823
PA,2005,40226
PA,2006,27368
PA,2007,20403
PA,2008,21684
PA,2009,29806
PA,2010,15020
PA,2011,17687
PA,2012,20732
PA,2013,17518
PA,2014,35948
PA,2015,39253
PA,2016,26143
PA,2017,59771
RO,1998,6917
RO,1999,7124
RO,2000,5498
RO,2001,5059
RO,2002,15524
RO,2003,7803
RO,2004,13421
RO,2005,24858
RO,2006,5930
RO,2007,14023
RO,2008,6710
RO,2009,4096
RO,2010,11873
RO,2011,4541
RO,2012,6421
RO,2013,3662
RO,2014,4832
RO,2015,14410
RO,2016,11724
RO,2017,10961
RR,1998,21
RR,1999,220
RR,2000,362
RR,2001,2416
RR,2002,2224
RR,2003,2919
RR,2004,1457
RR,2005,860
RR,2006,1245
RR,2007,1863
RR,2008,1131
RR,2009,1687
RR,2010,1442
RR,2011,1082
RR,2012,1001
RR,2013,994
RR,2014,1868
RR,2015,2062
RR,2016,3499
RR,2017,1101
TO,1998,11536
TO,1999,6679
TO,2000,6542
TO,2001,9113
TO,2002,11787
TO,2003,8890
TO,2004,12202
TO,2005,10885
TO,2006,6429
TO,2007,15974
TO,2008,4915
TO,2009,5749
TO,2010,25069
TO,2011,10387
TO,2012,5294
TO,2013,8127
TO,2014,7748
TO,2015,9123
TO,2016,14854
TO,2017,21129
